3,8,19,28,35,41
1,29,30,32,34,35
6,15,29,30,37,42
4,10,23,26,35,37
1,15,17,19,40,43
10,13,22,28,38,43
6,7,11,16,23,44
2,11,23,25,26,35
5,16,22,27,30,31
19,22,24,41,44,45
7,16,28,33,34,45
4,12,17,19,32,45
7,9,13,33,40,44
4,15,24,36,37,41
10,13,14,26,32,33
4,5,17,18,22,36
5,8,10,17,22,31
14,15,17,21,31,38
18,20,22,33,35,39
2,15,21,27,31,35
10,11,18,19,20,45
4,10,18,20,32,45
1,13,14,19,42,45
9,13,18,24,26,42
4,25,31,35,39,41
5,15,21,39,43,45
6,14,26,41,42,43
4,9,19,29,36,41
6,9,12,17,41,42
14,18,19,32,33,38
17,26,35,40,43,44
11,13,14,43,44,45
7,21,34,38,43,44
9,18,21,24,34,41
2,5,6,20,33,39
7,20,36,37,43,45
7,8,26,30,37,43
